time,HR,average HR
2023-02-28 00:00:08,58,
2023-02-28 00:00:18,57,
2023-02-28 00:00:28,58,
2023-02-28 00:00:33,58,
2023-02-28 00:00:43,59,
2023-02-28 00:00:48,60,
2023-02-28 00:00:53,62,
2023-02-28 00:00:58,63,
2023-02-28 00:01:13,63,
2023-02-28 00:01:28,63,
2023-02-28 00:01:33,64,
2023-02-28 00:01:48,64,
2023-02-28 00:01:53,64,
2023-02-28 00:02:03,63,
2023-02-28 00:02:08,60,
2023-02-28 00:02:13,57,
2023-02-28 00:02:18,57,
2023-02-28 00:02:28,58,
2023-02-28 00:02:43,58,
2023-02-28 00:02:58,58,
2023-02-28 00:03:03,59,
2023-02-28 00:03:08,58,
2023-02-28 00:03:13,59,
2023-02-28 00:03:28,59,
2023-02-28 00:03:38,58,
2023-02-28 00:03:43,59,
2023-02-28 00:03:58,59,
2023-02-28 00:04:08,58,
2023-02-28 00:04:13,57,
2023-02-28 00:04:18,55,
2023-02-28 00:04:23,55,
2023-02-28 00:04:28,56,
2023-02-28 00:04:33,57,
2023-02-28 00:04:43,56,
2023-02-28 00:04:48,55,
2023-02-28 00:04:58,54,
2023-02-28 00:05:03,55,
2023-02-28 00:05:08,56,
2023-02-28 00:05:13,57,
2023-02-28 00:05:18,58,
2023-02-28 00:05:23,59,
2023-02-28 00:05:33,60,
2023-02-28 00:05:48,60,
2023-02-28 00:05:53,59,
2023-02-28 00:06:08,59,
2023-02-28 00:06:13,60,
2023-02-28 00:06:23,61,
2023-02-28 00:06:38,61,
2023-02-28 00:06:53,59,
2023-02-28 00:06:58,57,
2023-02-28 00:07:03,56,
2023-02-28 00:07:08,55,
2023-02-28 00:07:13,54,
2023-02-28 00:07:28,54,
2023-02-28 00:07:33,55,
2023-02-28 00:07:48,55,
2023-02-28 00:07:53,56,
2023-02-28 00:07:58,56,
2023-02-28 00:08:03,56,
2023-02-28 00:08:13,56,
2023-02-28 00:08:18,57,57.74166666666667
2023-02-28 00:08:28,58,57.733333333333334
2023-02-28 00:08:38,57,57.733333333333334
2023-02-28 00:08:53,57,57.733333333333334
2023-02-28 00:11:59,53,57.766666666666666
2023-02-28 00:12:04,54,57.9
2023-02-28 00:12:19,55,58.016666666666666
2023-02-28 00:12:34,55,58.1
2023-02-28 00:12:49,55,58.175
2023-02-28 00:13:04,55,58.25
2023-02-28 00:13:19,55,58.325
2023-02-28 00:13:24,55,58.38333333333333
2023-02-28 00:13:39,55,58.38333333333333
2023-02-28 00:13:44,64,58.325
2023-02-28 00:13:49,63,58.266666666666666
2023-02-28 00:13:54,59,58.225
2023-02-28 00:13:59,56,58.2
2023-02-28 00:14:04,55,58.18333333333333
2023-02-28 00:14:19,55,58.15
2023-02-28 00:14:34,55,58.11666666666667
2023-02-28 00:14:44,54,58.075
2023-02-28 00:14:59,54,58.03333333333333
2023-02-28 00:15:04,55,58.00833333333333
2023-02-28 00:15:14,56,57.99166666666667
2023-02-28 00:15:19,56,57.96666666666667
2023-02-28 00:15:24,57,57.94166666666667
2023-02-28 00:15:29,59,57.9
2023-02-28 00:15:34,60,57.85
2023-02-28 00:15:39,61,57.80833333333333
2023-02-28 00:15:44,63,57.775
2023-02-28 00:15:49,65,57.75833333333333
2023-02-28 00:15:54,64,57.75
2023-02-28 00:15:59,66,57.75
2023-02-28 00:16:04,67,57.75
2023-02-28 00:16:14,66,57.766666666666666
2023-02-28 00:16:19,63,57.791666666666664
2023-02-28 00:16:24,61,57.825
2023-02-28 00:16:29,59,57.85
2023-02-28 00:16:34,57,57.875
2023-02-28 00:16:39,56,57.9
2023-02-28 00:16:44,55,57.925
2023-02-28 00:16:54,56,57.96666666666667
2023-02-28 00:17:09,57,58.016666666666666
2023-02-28 00:17:24,57,58.075
2023-02-28 00:17:39,57,58.141666666666666
2023-02-28 00:17:44,55,58.208333333333336
2023-02-28 00:17:54,54,58.25833333333333
2023-02-28 00:18:09,54,58.30833333333333
2023-02-28 00:18:14,55,58.375
2023-02-28 00:18:19,56,58.46666666666667
2023-02-28 00:18:29,56,58.583333333333336
2023-02-28 00:18:44,57,58.71666666666667
2023-02-28 00:18:49,56,58.858333333333334
2023-02-28 00:18:59,55,59.016666666666666
2023-02-28 00:19:04,54,59.175
2023-02-28 00:19:09,55,59.325
2023-02-28 00:19:14,55,59.475
2023-02-28 00:19:19,54,59.61666666666667
2023-02-28 00:19:29,55,59.75833333333333
2023-02-28 00:19:39,57,59.891666666666666
2023-02-28 00:19:44,57,60.03333333333333
2023-02-28 00:19:49,57,60.15833333333333
2023-02-28 00:19:59,58,60.275
2023-02-28 00:20:09,62,60.4
2023-02-28 00:20:14,75,60.525
2023-02-28 00:20:29,74,60.68333333333333
2023-02-28 00:20:34,72,60.833333333333336
2023-02-28 00:20:49,72,60.99166666666667
2023-02-28 00:21:04,72,61.15833333333333
2023-02-28 00:21:19,72,61.31666666666667
2023-02-28 00:21:24,71,61.46666666666667
2023-02-28 00:21:29,64,61.608333333333334
2023-02-28 00:21:34,57,61.74166666666667
2023-02-28 00:21:39,56,61.875
2023-02-28 00:21:44,55,61.93333333333333
2023-02-28 00:21:49,54,62.0
2023-02-28 00:22:04,55,62.1
2023-02-28 00:22:19,54,62.233333333333334
2023-02-28 00:22:29,54,62.375
2023-02-28 00:22:39,53,62.516666666666666
2023-02-28 00:22:44,54,62.65833333333333
2023-02-28 00:22:49,55,62.80833333333333
2023-02-28 00:22:54,57,62.958333333333336
2023-02-28 00:22:59,56,63.1
2023-02-28 00:23:04,55,63.225
2023-02-28 00:23:09,54,63.34166666666667
2023-02-28 00:23:14,53,63.458333333333336
2023-02-28 00:23:29,53,63.541666666666664
2023-02-28 00:23:34,53,63.608333333333334
2023-02-28 00:23:49,53,63.666666666666664
2023-02-28 00:24:04,54,63.708333333333336
2023-02-28 00:24:14,56,63.733333333333334
2023-02-28 00:24:19,57,63.766666666666666
2023-02-28 00:24:29,58,63.78333333333333
2023-02-28 00:24:44,58,63.791666666666664
2023-02-28 00:24:59,58,63.80833333333333
2023-02-28 00:25:14,58,63.85
2023-02-28 00:25:24,59,63.90833333333333
2023-02-28 00:25:29,60,63.983333333333334
2023-02-28 00:25:34,61,64.075
2023-02-28 00:25:49,64,64.175
2023-02-28 00:25:54,66,64.275
2023-02-28 00:26:04,67,64.36666666666666
2023-02-28 00:26:19,67,64.45
2023-02-28 00:26:34,67,64.53333333333333
2023-02-28 00:26:39,66,64.61666666666666
2023-02-28 00:26:44,67,64.74166666666666
2023-02-28 00:26:49,69,64.875
2023-02-28 00:26:59,70,65.00833333333334
2023-02-28 00:27:04,71,65.2
2023-02-28 00:27:10,72,65.91666666666667
2023-02-28 00:27:20,72,66.88333333333334
2023-02-28 00:27:30,73,67.875
2023-02-28 00:27:45,73,68.875
2023-02-28 00:28:00,73,69.875
2023-02-28 00:28:15,73,70.89166666666667
2023-02-28 00:28:30,73,71.9
2023-02-28 00:28:45,73,72.91666666666667
2023-02-28 00:28:55,72,73.95
2023-02-28 00:29:10,73,74.96666666666667
2023-02-28 00:29:25,72,75.96666666666667
2023-02-28 00:29:40,72,76.975
2023-02-28 00:29:55,72,77.99166666666666
2023-02-28 00:30:10,72,79.00833333333334
2023-02-28 00:30:25,72,79.98333333333333
2023-02-28 00:30:35,72,80.85
2023-02-28 00:30:40,74,81.71666666666667
2023-02-28 00:30:45,75,82.59166666666667
2023-02-28 00:30:55,74,83.46666666666667
2023-02-28 00:31:10,73,84.35
2023-02-28 00:31:20,72,85.23333333333333
2023-02-28 00:31:25,71,86.13333333333334
2023-02-28 00:31:40,71,87.08333333333333
2023-02-28 00:31:55,71,88.1
2023-02-28 00:32:00,71,89.13333333333334
2023-02-28 00:32:15,71,90.16666666666667
2023-02-28 00:32:20,72,91.21666666666667
2023-02-28 00:32:25,72,92.26666666666667
2023-02-28 00:32:40,72,93.31666666666666
2023-02-28 00:32:55,72,94.35833333333333
2023-02-28 00:33:10,72,95.40833333333333
2023-02-28 00:33:25,72,96.45
2023-02-28 00:33:40,72,97.49166666666666
2023-02-28 00:33:55,71,98.50833333333334
2023-02-28 00:34:00,70,99.525
2023-02-28 00:34:15,71,100.55833333333334
2023-02-28 00:34:25,69,101.60833333333333
2023-02-28 00:34:30,68,102.66666666666667
2023-02-28 00:34:45,68,103.71666666666667
2023-02-28 00:35:00,68,104.775
2023-02-28 00:35:15,68,105.84166666666667
2023-02-28 00:35:30,68,106.90833333333333
2023-02-28 00:35:45,68,107.95
2023-02-28 00:36:00,68,108.98333333333333
2023-02-28 00:36:15,68,110.03333333333333
2023-02-28 00:36:30,68,111.10833333333333
2023-02-28 00:36:40,68,112.2
2023-02-28 00:36:45,68,113.3
2023-02-28 00:37:00,68,114.4
2023-02-28 00:37:05,68,115.5
2023-02-28 00:37:20,67,116.58333333333333
2023-02-28 00:37:35,67,117.63333333333334
2023-02-28 00:37:50,67,118.66666666666667
2023-02-28 00:38:05,67,119.7
2023-02-28 00:38:10,67,120.725
2023-02-28 01:33:06,70,121.76666666666667
2023-02-28 02:27:42,70,122.81666666666666
2023-02-28 07:02:40,70,123.86666666666666
2023-02-28 07:02:55,78,124.9
2023-02-28 07:03:00,142,125.925
2023-02-28 07:03:05,172,126.93333333333334
2023-02-28 07:03:10,176,127.94166666666666
2023-02-28 07:03:15,176,128.94166666666666
2023-02-28 07:03:20,175,129.94166666666666
2023-02-28 07:03:25,176,130.93333333333334
2023-02-28 07:03:40,176,131.93333333333334
2023-02-28 07:03:55,177,132.925
2023-02-28 07:04:10,178,133.91666666666666
2023-02-28 07:04:25,177,134.90833333333333
2023-02-28 07:04:40,177,135.91666666666666
2023-02-28 07:04:45,178,136.925
2023-02-28 07:04:50,179,137.94166666666666
2023-02-28 07:04:55,180,138.95
2023-02-28 07:05:10,179,139.95833333333334
2023-02-28 07:05:25,179,140.975
2023-02-28 07:05:30,178,141.98333333333332
2023-02-28 07:05:35,177,142.99166666666667
2023-02-28 07:05:50,177,143.99166666666667
2023-02-28 07:06:00,178,144.99166666666667
2023-02-28 07:06:15,178,146.00833333333333
2023-02-28 07:06:20,179,147.025
2023-02-28 07:06:30,178,148.04166666666666
2023-02-28 07:06:35,179,149.05833333333334
2023-02-28 07:06:40,180,150.06666666666666
2023-02-28 07:06:55,179,151.08333333333334
2023-02-28 07:07:05,180,152.1
2023-02-28 07:07:10,181,153.11666666666667
2023-02-28 07:07:25,180,154.13333333333333
2023-02-28 07:07:35,179,155.15
2023-02-28 07:07:50,179,156.16666666666666
2023-02-28 07:08:05,179,157.19166666666666
2023-02-28 07:08:10,180,158.20833333333334
2023-02-28 07:08:15,179,159.23333333333332
2023-02-28 07:08:20,178,160.25
2023-02-28 07:08:35,179,161.28333333333333
2023-02-28 07:08:40,180,162.33333333333334
2023-02-28 07:08:55,180,163.35833333333332
2023-02-28 07:09:00,179,164.39166666666668
2023-02-28 07:09:10,180,165.425
2023-02-28 07:09:15,181,166.46666666666667
2023-02-28 07:09:30,182,167.51666666666668
2023-02-28 07:09:35,181,168.55833333333334
2023-02-28 07:09:50,181,169.59166666666667
2023-02-28 07:10:00,184,170.625
2023-02-28 07:10:05,187,171.65833333333333
2023-02-28 07:10:10,189,172.7
2023-02-28 07:10:15,190,173.75833333333333
2023-02-28 07:10:25,191,174.81666666666666
2023-02-28 07:10:40,192,175.88333333333333
2023-02-28 07:10:45,191,176.94166666666666
2023-02-28 07:10:50,190,178.00833333333333
2023-02-28 07:11:05,190,179.075
2023-02-28 07:11:15,191,180.13333333333333
2023-02-28 07:11:20,190,181.19166666666666
2023-02-28 07:11:35,192,182.24166666666667
2023-02-28 07:11:50,192,183.3
2023-02-28 07:12:00,193,184.325
2023-02-28 07:12:15,193,185.35
2023-02-28 07:12:30,193,186.38333333333333
2023-02-28 07:12:40,192,187.34166666666667
2023-02-28 07:12:50,193,187.76666666666668
2023-02-28 07:12:55,192,187.94166666666666
2023-02-28 07:13:00,193,188.08333333333334
2023-02-28 07:13:10,192,188.21666666666667
2023-02-28 07:13:15,193,188.35833333333332
2023-02-28 07:13:30,192,188.5
2023-02-28 07:13:45,192,188.65
2023-02-28 07:14:00,192,188.8
2023-02-28 07:14:10,193,188.93333333333334
2023-02-28 07:14:20,194,189.06666666666666
2023-02-28 07:14:35,194,189.19166666666666
2023-02-28 07:14:45,193,189.30833333333334
2023-02-28 07:15:00,193,189.425
2023-02-28 07:15:15,194,189.54166666666666
2023-02-28 07:15:30,193,189.675
2023-02-28 07:15:45,193,189.81666666666666
2023-02-28 07:15:50,194,189.975
2023-02-28 07:15:55,195,190.13333333333333
2023-02-28 07:16:00,196,190.28333333333333
2023-02-28 07:16:10,195,190.40833333333333
2023-02-28 07:16:20,194,190.525
2023-02-28 07:16:25,193,190.64166666666668
2023-02-28 07:16:35,192,190.76666666666668
2023-02-28 07:16:45,193,190.88333333333333
2023-02-28 07:17:00,193,190.98333333333332
2023-02-28 07:17:15,193,191.1
2023-02-28 07:17:20,194,191.21666666666667
2023-02-28 07:17:35,194,191.31666666666666
2023-02-28 07:17:50,194,191.43333333333334
2023-02-28 07:17:51,195,191.56666666666666
2023-02-28 07:18:06,194,191.69166666666666
2023-02-28 07:18:21,195,191.80833333333334
2023-02-28 07:18:26,194,191.93333333333334
2023-02-28 07:18:41,195,192.05833333333334
2023-02-28 07:18:46,196,192.18333333333334
2023-02-28 07:18:56,194,192.3
2023-02-28 07:19:06,193,192.41666666666666
2023-02-28 07:19:16,192,192.525
2023-02-28 07:19:21,193,192.65
2023-02-28 07:19:31,194,192.775
2023-02-28 07:19:36,193,192.88333333333333
2023-02-28 07:19:46,192,192.98333333333332
2023-02-28 07:20:01,192,193.09166666666667
2023-02-28 07:20:16,192,193.19166666666666
2023-02-28 07:20:21,193,193.275
2023-02-28 07:20:26,195,193.33333333333334
2023-02-28 07:20:41,195,193.375
2023-02-28 07:20:51,196,193.4
2023-02-28 07:20:56,195,193.40833333333333
2023-02-28 07:21:01,196,193.41666666666666
2023-02-28 07:21:16,195,193.43333333333334
2023-02-28 07:21:31,194,193.45833333333334
2023-02-28 07:21:46,194,193.48333333333332
2023-02-28 07:21:56,193,193.525
2023-02-28 07:22:01,194,193.56666666666666
2023-02-28 07:22:16,193,193.58333333333334
2023-02-28 07:22:21,193,193.60833333333332
2023-02-28 07:22:26,194,193.61666666666667
2023-02-28 07:22:36,193,193.61666666666667
2023-02-28 07:22:51,193,193.625
2023-02-28 07:23:06,193,193.65
2023-02-28 07:23:21,193,193.65833333333333
2023-02-28 07:23:26,192,193.675
2023-02-28 07:23:41,192,193.68333333333334
2023-02-28 07:23:56,193,193.69166666666666
2023-02-28 07:24:01,194,193.68333333333334
2023-02-28 07:24:11,195,193.675
2023-02-28 07:24:26,194,193.65833333333333
2023-02-28 07:24:31,193,193.63333333333333
2023-02-28 07:24:46,192,193.58333333333334
2023-02-28 07:25:01,192,193.525
2023-02-28 07:25:11,193,193.45833333333334
2023-02-28 07:25:16,194,193.39166666666668
2023-02-28 07:25:21,195,193.325
2023-02-28 07:25:26,196,193.25
2023-02-28 07:25:31,197,193.175
2023-02-28 07:25:36,196,193.1
2023-02-28 07:25:41,195,193.01666666666668
2023-02-28 07:25:46,193,192.91666666666666
2023-02-28 07:25:56,192,192.79166666666666
2023-02-28 07:26:01,193,192.65833333333333
2023-02-28 07:26:16,193,192.525
2023-02-28 07:26:31,193,192.39166666666668
2023-02-28 07:26:36,192,192.25833333333333
2023-02-28 07:26:46,193,192.11666666666667
2023-02-28 07:26:51,194,191.95833333333334
2023-02-28 07:27:01,193,191.78333333333333
2023-02-28 07:27:16,194,191.58333333333334
2023-02-28 07:27:26,195,191.35
2023-02-28 07:27:31,194,191.075
2023-02-28 07:27:36,193,190.80833333333334
2023-02-28 07:27:51,195,190.55833333333334
2023-02-28 07:28:06,194,190.30833333333334
2023-02-28 07:28:11,193,190.08333333333334
2023-02-28 07:28:26,193,189.85833333333332
2023-02-28 07:28:36,194,189.63333333333333
2023-02-28 07:28:41,193,189.41666666666666
2023-02-28 07:28:51,194,189.15833333333333
2023-02-28 07:28:56,195,188.85833333333332
2023-02-28 07:29:06,194,188.54166666666666
2023-02-28 07:29:21,194,188.225
2023-02-28 07:29:36,194,187.90833333333333
2023-02-28 07:29:46,193,187.575
2023-02-28 07:29:51,194,187.18333333333334
2023-02-28 07:30:06,194,186.76666666666668
2023-02-28 07:30:21,194,186.34166666666667
2023-02-28 07:30:26,193,185.89166666666668
2023-02-28 07:30:31,192,185.39166666666668
2023-02-28 07:30:41,193,184.83333333333334
